Date,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2016-01-28,Surrey Hills,999A Riversdale Rd,3,h,1205000.0,S,Fletchers,2016-01-28,11.2,3127.0,3.0,1.0,2.0,490.0,,,Boroondara City Council,-37.8361,145.1006,Southern Metropolitan,5457.0
2016-01-28,Surrey Hills,1/10 Florence Rd,2,u,813000.0,S,Fletchers,2016-01-28,11.2,3127.0,2.0,1.0,2.0,108.0,,,Boroondara City Council,-37.8276,145.1023,Southern Metropolitan,5457.0
2016-01-28,Canterbury,140 Canterbury Rd,4,h,,SP,Fletchers,2016-01-28,9.0,3126.0,4.0,2.0,0.0,808.0,198.0,1910.0,Boroondara City Council,-37.8235,145.0751,Southern Metropolitan,3265.0
2016-03-09,Williamstown,54 Twyford St,3,h,1535000.0,S,Greg,2016-03-09,8.0,3016.0,3.0,1.0,1.0,507.0,186.0,1910.0,Hobsons Bay City Council,-37.8681,144.8994,Western Metropolitan,6380.0
2016-03-09,Newport,1/26 Thorpe St,3,h,826000.0,S,Village,2016-03-09,8.4,3015.0,2.0,1.0,2.0,281.0,100.0,1957.0,Hobsons Bay City Council,-37.8457,144.8651,Western Metropolitan,5498.0
2016-03-09,Newport,23a Farm St,3,h,1025000.0,SP,Sweeney,2016-03-09,8.4,3015.0,3.0,2.0,2.0,301.0,195.0,,Hobsons Bay City Council,-37.842,144.8902,Western Metropolitan,5498.0
2016-03-09,Moorabbin,6/1015 Nepean Hwy,1,u,380500.0,S,Ray,2016-03-09,14.6,3189.0,1.0,1.0,1.0,106.0,51.0,1990.0,Kingston City Council,-37.9374,145.0388,Southern Metropolitan,2555.0
2016-03-09,Moorabbin,19 Hamer St,3,h,1000000.0,S,O'Brien,2016-03-09,14.6,3189.0,3.0,2.0,2.0,573.0,150.0,1970.0,Kingston City Council,-37.9428,145.044,Southern Metropolitan,2555.0
2016-03-09,Moorabbin,23 Fiddes St,3,h,1020000.0,S,Buxton,2016-03-09,14.6,3189.0,3.0,1.0,3.0,771.0,,,Kingston City Council,-37.9375,145.0474,Southern Metropolitan,2555.0
2016-03-09,Moorabbin,21 Fiddes St,3,h,1224000.0,S,Buxton,2016-03-09,14.6,3189.0,3.0,1.0,3.0,834.0,143.0,1960.0,Kingston City Council,-37.9376,145.0474,Southern Metropolitan,2555.0
2016-03-09,Moonee Ponds,504/26 Shuter St,3,u,670000.0,S,Nelson,2016-03-09,6.9,3039.0,3.0,2.0,2.0,0.0,120.0,2000.0,Moonee Valley City Council,-37.7672,144.9209,Western Metropolitan,6232.0
2016-03-09,Mont Albert,17 Rowland St,4,h,2850000.0,S,Jellis,2016-03-09,11.8,3127.0,4.0,2.0,2.0,1388.0,,,Boroondara City Council,-37.82,145.1118,Eastern Metropolitan,2079.0
2016-03-09,Mont Albert,371 Elgar Rd,2,h,1320000.0,SP,Lindellas,2016-03-09,11.8,3127.0,2.0,1.0,1.0,613.0,115.0,1950.0,Boroondara City Council,-37.8238,145.1135,Eastern Metropolitan,2079.0
2016-03-09,Middle Park,31/75 Park Rd,1,u,,SP,Marshall,2016-03-09,4.1,3206.0,1.0,1.0,1.0,709.0,,,Port Phillip City Council,-37.8544,144.968,Southern Metropolitan,2019.0
2016-03-09,Williamstown North,4/4 Florence St,2,t,500000.0,VB,Village,2016-03-09,8.9,3016.0,2.0,1.0,1.0,53.0,,,Hobsons Bay City Council,-37.8563,144.8782,Western Metropolitan,802.0
2016-03-09,Abbotsford,68 Studley St,2,h,,SS,Jellis,2016-03-09,2.5,3067.0,2.0,1.0,1.0,126.0,,,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019.0
2016-03-09,Williamstown,8 Pope Pl,3,h,920000.0,SP,Sweeney,2016-03-09,8.0,3016.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,6380.0
2016-03-09,Melbourne,19/562 Little Bourke St,1,u,,PI,Harcourts,2016-03-09,2.8,3000.0,1.0,1.0,1.0,0.0,53.0,1900.0,Melbourne City Council,-37.8152,144.9557,Northern Metropolitan,17496.0
2016-03-09,Box Hill,32 Margaret St,4,h,1620000.0,S,hockingstuart,2016-03-09,13.1,3128.0,4.0,2.0,2.0,697.0,255.0,1940.0,Whitehorse City Council,-37.8151,145.135,Eastern Metropolitan,4605.0
2016-03-09,Armadale,8/19 Mercer Rd,2,u,599000.0,S,Jellis,2016-03-09,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,4836.0
2016-03-09,Armadale,24 Hume St,3,h,,S,RT,2016-03-09,6.3,3143.0,2.0,1.0,1.0,305.0,,,Stonnington City Council,-37.8573,145.0226,Southern Metropolitan,4836.0
2016-03-09,Windsor,207/152 Peel St,2,u,580000.0,VB,Jellis,2016-03-09,5.1,3181.0,2.0,2.0,1.0,0.0,78.0,2012.0,Port Phillip City Council,-37.8558,144.9903,Southern Metropolitan,4380.0
2016-03-09,Maribyrnong,1/127 Raleigh Rd,3,t,,PI,Biggin,2016-03-09,8.7,3032.0,3.0,1.0,1.0,0.0,109.0,2014.0,Maribyrnong City Council,-37.7689,144.8886,Western Metropolitan,4918.0
